CourseId	Name	Description	Rating	SportId	TeacherId	Date	Time	Capacity
134	Cricket Career Preparation	"Develop your career with aspects of Body, Mind, Opportunities, and Planning for future."	4.7	10	1672	Saturday	9:20AM-10:45AM	15
135	Forehand Masterclass: 10X Your Forehand Potential	Learn How to Master the Forehand's 3 Most Important Areas & Turn Your Forehand Into a Weapon.	4.7		1673	Tuesday	9:20AM-10:45AM	14
136	Learning to Ski or Snowboard	Everything you need to know to enjoy your time on the slopes	5	46	1674	Saturday	9:20AM-10:45AM	16
137	Be an Explosive T20 Cricket Batsman	"Practical T20 cricket batting, 12 exercises, Mental Skills, Strike Zones, and Cricket Kit for safety and performance"	3.7	10	1854	Wednesday	9:20AM-10:45AM	17
138	The Art of Falling	Don't Risk Your Love of Movement or Sports Career to Chance	4.7		1777	Monday	5:30PM-7:00PM	12
139	Sports Management: Gameday Operations	Everything You Need to Know About Sports Gameday Operations and How to Start Your Career	4.4		1922	Sunday	4:20PM-5:30PM	13
140	Advanced Basketball: Offensive Dribbling Moves	The intent of this course is to teach people advanced dribbling moves that can enhance their offensive game.	4.4	5	1950	Friday	9:20AM-10:45AM	14
141	Forehand Topspin Mastery	"Learn How to Develop That ""Rafa Nadal's Massive Topspin Forehand"	4.6		1734	Sunday	5:30PM-7:00PM	15
142	Sports Massage For Body Strength	"Sports pain management, Sports massage for body parts, Hormonal effect of sports massage etc."	3.7		1671	Saturday	9:20AM-10:45AM	16
143	How to become a Soccer Scout?	"Learn here, step-by-step, the path to become a Soccer Scour! Includes useful tips so you can reach your goal faster!"	4.4	16	1700	Wednesday	5:30PM-7:00PM	17
144	Step Up Your Tennis Game	A simple guide teaching you the correct way to hit every shot in tennis	4.4	41	1582	Monday	8:30AM-9:50AM	12
145	Sports Management: Data and Analytics	Learn the Concepts Behind Data Analytics and How They Can be Used to Produce Better Results On and Off the Pitch	4.4		1743	Tuesday	10:30AM-12:00PM	13
146	How to successfuly complete your first triathlon	"Become a triathelete today by learning the skills, understanding the kit and developing an effective training programme."	3.9	42	1811	Sunday	5:30PM-7:00PM	14
147	How to become a Soccer Coach?	"Learn here, step-by-step, the path to become a Soccer Coach! Includes useful tips so you can reach your goal faster!"	4.4		1922	Tuesday	3:00PM-5:00PM	14
148	Winning the Mental Game at Sports	"Learn the mental tools for Sports Success including Visioning, Growth Mindset, Setting your Ceiling, and EFT/Tapping"	4		1671	Monday	11:30AM-1:10PM	14
149	Run a Marathon ( 26.2 mile) With No (or Little) Training	"Hack your 1st Marathon Learn the Science of Marathon Running 26.2 miles of awesome human evolution. Tips,Hacks,Advice"	3.1		1422	Sunday	9:20AM-10:45AM	11
150	Soccer Coaching Hacks	The complete guide to understanding soccer tactics and how to explain them to kids	4.2		1522	Monday	8:30AM-9:50AM	15
151	Basketball: Fundamentals of Shooting	The intent of this course is to help anyone improve their shooting skills by going through a step by step tutorial.	4.1	5	1998	Sunday	10:30AM-12:00PM	12
152	How To Become A Better Soccer Player In Just 60 Days	"#1 Private Soccer Coach in Kentucky Teaches You A Simple, But Proven, Training Program To Improving Your Game"	3.7	16	1879	Wednesday	9:20AM-10:45AM	13
153	"How To Tape An Ankle, Thumb And Finger: A Beginners Guide"	Sprained ankle? Bruised knuckle? Follow these step by step demonstrations on how to prevent and manage these injuries	4.4		1633	Monday	10:30AM-12:00PM	14
154	Swim Butterfly in WEST Swimming Technique	Learn how to swim butterfly like a pro in 4 easy swimming lesson in the pioneering and proven WEST swimming technique!	4.3	38	1777	Tuesday	8:30AM-9:50AM	14
155	Gymnastics Fundamentals | Basic Acrobatics For Beginners	"Learn Gymnastics & Martial Arts Acrobatics, 4 Week Basic Program for Tricking,Parkour,Tumbling and Martial Arts"	4.9	19	1987	Sunday	11:30AM-1:10PM	14
156	EFT for Golf - Improve Your Score. Master the Mental Game	"Practical, proven exercises and techniques to super charge your Golf game and make it more fun while cutting strokes."	3.8	18	1933	Tuesday	5:30PM-7:00PM	11
157	105 RIDE VERBATIM: The 4 NATURAL AIDS	"If you're not training the Natural Aids verbatim, there's nothing natural about your riding."	4.8	11	1633	Wednesday	3:00PM-5:00PM	15
158	School of Fish SWIMMING STROKES & SKILLS - Course 2	"Learn the Progression for all swimming strokes and skills with the three levels: Barracuda, Swordfish & Dolphin"	4.8	38	1633	Tuesday	8:30AM-9:50AM	33
159	How to String a Badminton Racket	A Simple Step by Step Guide to Help you String your own Badminton Racket	4.5	4	1922	Monday	3:00PM-5:00PM	21
